model,benchmark,lang,shot,accuracy,sd,runs
bloom-560m,xcopa,it,4,51.279999999999994,1.4042791745233552,5
bloom-560m,xcopa,qu,0,50.6,,1
bloom-560m,xcopa,qu,4,51.08,0.5761944116355161,5
bloom-560m,xcopa,sw,0,51.2,,1
bloom-560m,xcopa,sw,4,53.239999999999995,0.9423375191511805,5
bloom-560m,xcopa,ta,0,54.6,,1
bloom-560m,xcopa,ta,4,54.720000000000006,0.8438009243891639,5
bloom-560m,xcopa,th,0,50.8,,1
bloom-560m,xcopa,th,4,52.36,1.2759310326189293,5
bloom-560m,xcopa,tr,0,49.2,,1
bloom-560m,xcopa,tr,4,50.839999999999996,1.043072384832423,5
bloom-560m,xcopa,vi,0,59.6,,1
bloom-560m,xcopa,vi,4,56.32000000000001,1.5073154945133396,5
bloom-560m,xcopa,zh,0,52.2,,1
bloom-560m,xcopa,zh,4,56.67999999999999,1.118928058455952,5
bloom-560m,xsc,ar,0,53.6,,1
bloom-560m,xsc,ar,4,52.760000000000005,0.6228964600958942,5
bloom-560m,xsc,es,0,61.2,,1
bloom-560m,xsc,es,4,60.04,1.7285832349065522,5
bloom-560m,xsc,eu,0,55.8,,1
bloom-560m,xsc,eu,4,54.36,0.7668115805072341,5
bloom-560m,xsc,hi,0,56.6,,1
bloom-560m,xsc,hi,4,56.239999999999995,0.82945765413311,5
bloom-560m,xsc,id,0,58.6,,1
bloom-560m,xsc,id,4,58.96,0.7924645102463556,5
bloom-560m,xsc,my,0,54.0,,1
bloom-560m,xsc,my,4,54.08,1.2377398757412639,5
bloom-560m,xsc,ru,0,56.4,,1
bloom-560m,xsc,ru,4,55.36,0.49799598391954725,5
bloom-560m,xsc,sw,0,56.8,,1
bloom-560m,xsc,sw,4,57.4,0.7071067811865505,5
bloom-560m,xsc,te,0,57.6,,1
bloom-560m,xsc,te,4,57.120000000000005,1.4254823744964387,5
bloom-560m,xsc,zh,0,61.6,,1
bloom-560m,xsc,zh,4,61.4,1.0677078252031307,5
bloom-7b1,encopa,en,0,69.0,,1
bloom-7b1,encopa,en,4,71.2,2.387467277262663,5
bloom-7b1,xcopa,et,0,48.8,,1
bloom-7b1,xcopa,et,4,48.4,0.6164414002968981,5
bloom-7b1,xcopa,ht,0,45.2,,1
bloom-7b1,xcopa,ht,4,47.96,1.1610340218959998,5
bloom-7b1,xcopa,id,0,68.8,,1
bloom-7b1,xcopa,id,4,70.6,0.8485281374238558,5
bloom-7b1,xcopa,it,0,51.0,,1
bloom-7b1,xcopa,it,4,54.160000000000004,0.7266360849833958,5
bloom-7b1,xcopa,qu,0,52.2,,1
bloom-7b1,xcopa,qu,4,51.36,0.5549774770204642,5
bloom-7b1,xcopa,sw,0,51.0,,1
bloom-7b1,xcopa,sw,4,52.160000000000004,0.3847076812334268,5
bloom-7b1,xcopa,ta,0,62.4,,1
bloom-7b1,xcopa,ta,4,63.44,1.951409746824073,5
bloom-7b1,xcopa,th,0,49.4,,1
bloom-7b1,xcopa,th,4,48.519999999999996,0.48166378315169034,5
bloom-7b1,xcopa,tr,0,52.8,,1
bloom-7b1,xcopa,tr,4,52.720000000000006,0.8438009243891574,5
bloom-7b1,xcopa,vi,0,66.6,,1
bloom-7b1,xcopa,vi,4,69.64,2.4714368290530886,5
bloom-7b1,xcopa,zh,0,60.0,,1
bloom-7b1,xcopa,zh,4,69.76,0.9838699100999165,5
bloom-7b1,xsc,ar,0,62.0,,1
bloom-7b1,xsc,ar,4,64.24000000000001,0.6841052550594865,5
bloom-7b1,xsc,es,0,72.0,,1
bloom-7b1,xsc,es,4,69.84,1.0990905331227308,5
bloom-7b1,xsc,eu,0,60.4,,1
bloom-7b1,xsc,eu,4,59.36,0.7668115805072308,5
bloom-7b1,xsc,hi,0,63.8,,1
bloom-7b1,xsc,hi,4,63.239999999999995,0.7924645102463597,5
bloom-7b1,xsc,id,0,71.4,,1
bloom-7b1,xsc,id,4,69.28,0.6870225614927086,5
bloom-7b1,xsc,my,0,54.4,,1
bloom-7b1,xsc,my,4,54.720000000000006,1.6037456157383554,5
bloom-7b1,xsc,ru,0,61.6,,1
